Wall time,Step,Value
1733741822.7753544,49,0.8211509585380554
1733741831.8041377,99,0.8441639542579651
1733741840.8284879,149,0.8567410111427307
1733741849.8359697,199,0.8647352457046509
1733741858.9467075,249,0.8709538578987122
1733741867.9825706,299,0.8743517398834229
1733741877.0108857,349,0.8774245381355286
1733741886.0371463,399,0.8783876895904541
1733741895.1511037,449,0.8792052865028381
1733741904.1772916,499,0.8811849355697632
1733741913.2049172,549,0.8817121386528015
1733741922.2302089,599,0.8828856348991394
1733741931.2570343,649,0.8840017914772034
1733741940.2836754,699,0.884215235710144
1733741949.3103864,749,0.884883463382721
1733741958.3356478,799,0.886041522026062
1733741967.3607295,849,0.8870596289634705
1733741976.388029,899,0.8882818818092346
1733741985.41305,949,0.8891041874885559
1733741994.4406393,999,0.8899500966072083
1733742003.4650412,1049,0.8902366757392883
1733742012.4919333,1099,0.8905210494995117
1733742021.5191069,1149,0.8908509612083435
1733742030.5421636,1199,0.8913635015487671
1733742039.5711303,1249,0.8920437097549438
1733742048.6033318,1299,0.8923853039741516
1733742057.6313086,1349,0.8928991556167603
1733742066.6573322,1399,0.8932390213012695
1733742075.6841574,1449,0.8935111165046692
1733742084.7093985,1499,0.8937114477157593
1733742093.7366173,1549,0.8939045071601868
1733742102.7953606,1599,0.8940749168395996
1733742111.8317153,1649,0.8942602276802063
1733742120.8581202,1699,0.8945519924163818
1733742129.8829014,1749,0.8950881958007812
1733742138.9100156,1799,0.8955211639404297
1733742147.9434137,1849,0.8960689306259155
1733742156.9692607,1899,0.8963047862052917
1733742165.9931676,1949,0.8966186046600342
1733742175.019404,1999,0.8969315886497498
1733742184.0455887,2049,0.8970872163772583
1733742193.0767546,2099,0.8973487615585327
1733742202.1059165,2149,0.8975311517715454
1733742211.1354337,2199,0.8977859616279602
1733742220.1614735,2249,0.8978962898254395
1733742229.1881008,2299,0.8979849219322205
1733742238.2137322,2349,0.8982008695602417
1733742247.2615566,2399,0.8985673785209656
1733742256.5576353,2449,0.8987419009208679
1733742265.8675363,2499,0.8989461064338684
1733742275.1904068,2549,0.8990374803543091
1733742284.5119958,2599,0.8993143439292908
1733742293.8281608,2649,0.8996149897575378
1733742349.3900332,2699,0.9063917994499207
1733742358.8608928,2749,0.9115941524505615
1733742368.3133504,2799,0.9104232788085938
1733742377.7870336,2849,0.9099660515785217
1733742387.2561946,2899,0.9098643660545349
1733742396.7369332,2949,0.9083922505378723
1733742406.2026672,2999,0.9078300595283508
1733742415.6540763,3049,0.9080710411071777
1733742425.1239862,3099,0.9084378480911255
1733742434.6113684,3149,0.9088102579116821
1733742444.0873878,3199,0.9090453386306763
1733742453.5681138,3249,0.90959233045578
1733742463.0635624,3299,0.9091506004333496
1733742472.5584986,3349,0.9090284109115601
1733742482.0406933,3399,0.9094201922416687
